动画,udp://239.252.219.165:5140
鉴赏,udp://239.252.219.166:5140
墨宝,udp://239.252.219.168:5140
光影,udp://239.252.220.200:5140
台球,udp://239.252.220.201:5140
美人,udp://239.252.220.202:5140
武术,udp://239.252.220.203:5140
高网,udp://239.252.220.204:5140
足球,udp://239.252.220.205:5140
军事,udp://239.252.220.206:5140
地理,udp://239.252.220.207:5140
美妆,udp://239.252.220.208:5140
解密,udp://239.252.220.209:5140
星影,udp://239.252.220.210:5140
爱体育高清,udp://239.252.220.211:5140
爱上4K,udp://239.252.220.212:5140
江西都市HD,udp://239.252.220.238:5140
江西经济生活HD,udp://239.252.219.173:5140
江西影视旅游HD,udp://239.252.220.242:5140
江西公共农业HD,udp://239.252.220.102:5140
江西少儿HD,udp://239.252.219.113:5140
江西新闻HD,udp://239.252.220.100:5140
江西移动电视HD,udp://239.252.220.241:5140
江西教育HD,udp://239.252.219.115:5140
江西风尚购物HD,udp://239.252.219.101:5140
江西陶瓷HD,udp://239.252.220.243:5140
南昌新闻综合,udp://239.252.220.247:5140
南昌都市,udp://239.252.220.248:5140
南昌资讯,udp://239.252.220.249:5140
上饶新闻综合,udp://239.252.219.124:5140
上饶经济旅游,udp://239.252.219.125:5140
直播室101,udp://239.252.219.53:5140
直播室102,udp://239.252.219.91:5140
直播室103,udp://239.252.219.111:5140
直播室104,udp://239.252.219.112:5140
直播室105,udp://239.252.219.117:5140
直播室106,udp://239.252.219.135:5140
直播室107,udp://239.252.219.136:5140
直播室108,udp://239.252.219.203:5140
直播室109,udp://239.252.219.204:5140
直播室110,udp://239.252.219.205:5140
直播室111,udp://239.252.219.215:5140
直播室201,udp://239.252.219.129:5140
直播室202,udp://239.252.219.130:5140
直播室203,udp://239.252.219.131:5140
直播室204,udp://239.252.219.132:5140
直播室205,udp://239.252.219.133:5140
直播室206,udp://239.252.219.137:5140
直播室207,udp://239.252.219.138:5140
直播室208,udp://239.252.219.221:5140
直播室209,udp://239.252.219.218:5140
直播室210,udp://239.252.219.219:5140
直播室211,udp://239.252.219.220:5140
天翼高清1,udp://239.252.220.225:5140
天翼高清2,udp://239.252.220.226:5140
天翼高清3,udp://239.252.220.227:5140
天翼高清4,udp://239.252.220.228:5140
天翼高清5,udp://239.252.220.229:5140
天翼高清6,udp://239.252.220.230:5140
天翼高清7,udp://239.252.220.231:5140
天翼高清8,udp://239.252.220.232:5140
天翼高清9,udp://239.252.220.233:5140
天翼高清10,udp://239.252.220.234:5140
天翼4K15M,udp://239.252.220.236:5140
芒果跨年(特写),udp://239.252.219.188:5140
芒果跨年云监工,udp://239.252.219.187:5140
